index,variable,value,Selected
2,Men are taken more seriously,Not selected,False
4,Men are taken more seriously,Not selected,False
5,Men are taken more seriously,Not selected,False
6,Men are taken more seriously,Not selected,False
8,Men are taken more seriously,Not selected,False
9,Men are taken more seriously,Men are taken more seriously,True
10,Men are taken more seriously,Not selected,False
13,Men are taken more seriously,Men are taken more seriously,True
16,Men are taken more seriously,Not selected,False
17,Men are taken more seriously,Not selected,False
18,Men are taken more seriously,Not selected,False
21,Men are taken more seriously,Men are taken more seriously,True
22,Men are taken more seriously,Not selected,False
23,Men are taken more seriously,Not selected,False
25,Men are taken more seriously,Not selected,False
30,Men are taken more seriously,Not selected,False
34,Men are taken more seriously,Not selected,False
35,Men are taken more seriously,Men are taken more seriously,True
36,Men are taken more seriously,Not selected,False
41,Men are taken more seriously,Not selected,False
42,Men are taken more seriously,Not selected,False
44,Men are taken more seriously,Not selected,False
46,Men are taken more seriously,Not selected,False
49,Men are taken more seriously,Not selected,False
50,Men are taken more seriously,Not selected,False
54,Men are taken more seriously,Not selected,False
58,Men are taken more seriously,Not selected,False
63,Men are taken more seriously,Men are taken more seriously,True
64,Men are taken more seriously,Not selected,False
65,Men are taken more seriously,Not selected,False
66,Men are taken more seriously,Not selected,False
70,Men are taken more seriously,Not selected,False
72,Men are taken more seriously,Not selected,False
76,Men are taken more seriously,Not selected,False
77,Men are taken more seriously,Not selected,False
78,Men are taken more seriously,Men are taken more seriously,True
79,Men are taken more seriously,Men are taken more seriously,True
80,Men are taken more seriously,Not selected,False
84,Men are taken more seriously,Men are taken more seriously,True
87,Men are taken more seriously,Men are taken more seriously,True
92,Men are taken more seriously,Not selected,False
93,Men are taken more seriously,Not selected,False
95,Men are taken more seriously,Not selected,False
96,Men are taken more seriously,Not selected,False
100,Men are taken more seriously,Not selected,False
103,Men are taken more seriously,Not selected,False
105,Men are taken more seriously,Not selected,False
108,Men are taken more seriously,Not selected,False
109,Men are taken more seriously,Not selected,False
111,Men are taken more seriously,Not selected,False
112,Men are taken more seriously,Men are taken more seriously,True
113,Men are taken more seriously,Not selected,False
114,Men are taken more seriously,Not selected,False
116,Men are taken more seriously,Not selected,False
117,Men are taken more seriously,Men are taken more seriously,True
119,Men are taken more seriously,Men are taken more seriously,True
123,Men are taken more seriously,Not selected,False
126,Men are taken more seriously,Not selected,False
127,Men are taken more seriously,Not selected,False
129,Men are taken more seriously,Not selected,False
130,Men are taken more seriously,Not selected,False
132,Men are taken more seriously,Not selected,False
135,Men are taken more seriously,Not selected,False
138,Men are taken more seriously,Not selected,False
140,Men are taken more seriously,Men are taken more seriously,True
142,Men are taken more seriously,Men are taken more seriously,True
143,Men are taken more seriously,Not selected,False
145,Men are taken more seriously,Not selected,False
148,Men are taken more seriously,Not selected,False
149,Men are taken more seriously,Men are taken more seriously,True
150,Men are taken more seriously,Not selected,False
151,Men are taken more seriously,Not selected,False
152,Men are taken more seriously,Men are taken more seriously,True
153,Men are taken more seriously,Not selected,False
154,Men are taken more seriously,Not selected,False
155,Men are taken more seriously,Not selected,False
157,Men are taken more seriously,Not selected,False
158,Men are taken more seriously,Not selected,False
159,Men are taken more seriously,Men are taken more seriously,True
