index,Importance of being seen as masculine,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men have more support from their managers,None of the Above,Other
2,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
4,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
5,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
6,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
8,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
9,3,Not selected,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Men generally have more support from their managers,Not selected,Not selected
10,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
13,4,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
16,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Other (please specify)
17,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
18,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
21,3,Men make more money,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
22,2,Men make more money,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
23,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
25,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
30,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
34,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
35,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Men generally have more support from their managers,Not selected,Not selected
36,2,Not selected,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
41,2,Not selected,Not selected,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
42,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
44,1,Not selected,Not selected,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
46,2,Men make more money,Not selected,Not selected,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Not selected,Not selected,Not selected
49,3,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
50,2,Men make more money,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
54,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
58,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
63,3,Not selected,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
64,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Other (please specify)
65,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
66,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
70,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
72,3,Men make more money,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
76,1,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
77,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
78,1,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
79,3,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
80,3,Not selected,Not selected,Men have more choice,Not selected,Not selected,Not selected,Not selected,Other (please specify)
84,4,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
87,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
92,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
93,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
95,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
96,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
100,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
103,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
105,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
108,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
109,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Other (please specify)
111,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
112,3,Not selected,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
113,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
114,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
116,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
117,2,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
119,2,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
123,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
126,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
127,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
129,3,Not selected,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
130,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
132,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
135,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
138,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
140,1,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
142,4,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
143,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
145,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
148,3,Men make more money,Not selected,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
149,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
150,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
151,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
152,2,Men make more money,Men are taken more seriously,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
153,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
154,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
155,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Other (please specify)
157,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
158,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
159,0,Not selected,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
160,1,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
161,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
163,3,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
164,2,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
166,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
168,4,Men make more money,Men are taken more seriously,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
171,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
174,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
176,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
177,3,Men make more money,Not selected,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
178,2,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
179,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
180,2,Men make more money,Men are taken more seriously,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
181,2,Men make more money,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
182,3,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
183,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
184,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
186,2,Men make more money,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
187,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Other (please specify)
192,3,Not selected,Men are taken more seriously,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
193,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
197,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
198,4,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
200,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
203,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
204,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
206,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
207,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Other (please specify)
208,2,Men make more money,Men are taken more seriously,Not selected,Not selected,Men are explicitly praised more often,Not selected,Not selected,Not selected
212,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Other (please specify)
213,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
214,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
217,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
219,1,Not selected,Men are taken more seriously,Not selected,Not selected,Men are explicitly praised more often,Not selected,Not selected,Not selected
220,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
221,3,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Not selected,Men generally have more support from their managers,Not selected,Not selected
222,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
225,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
226,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
227,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
228,3,Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
229,3,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
231,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
233,3,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
234,3,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
236,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
237,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
238,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
240,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
241,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
243,3,Men make more money,Men are taken more seriously,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
244,3,Not selected,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
247,4,Men make more money,Not selected,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
251,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
