index,variable,value,Selected
2,Managers want to hire and promote women,Managers want to hire and promote women,True
4,Managers want to hire and promote women,Not selected,False
5,Managers want to hire and promote women,Not selected,False
6,Managers want to hire and promote women,Not selected,False
8,Managers want to hire and promote women,Not selected,False
9,Managers want to hire and promote women,Not selected,False
10,Managers want to hire and promote women,Managers want to hire and promote women,True
13,Managers want to hire and promote women,Managers want to hire and promote women,True
16,Managers want to hire and promote women,Not selected,False
17,Managers want to hire and promote women,Not selected,False
18,Managers want to hire and promote women,Not selected,False
21,Managers want to hire and promote women,Not selected,False
22,Managers want to hire and promote women,Not selected,False
23,Managers want to hire and promote women,Not selected,False
25,Managers want to hire and promote women,Not selected,False
30,Managers want to hire and promote women,Not selected,False
34,Managers want to hire and promote women,Managers want to hire and promote women,True
35,Managers want to hire and promote women,Not selected,False
36,Managers want to hire and promote women,Not selected,False
41,Managers want to hire and promote women,Managers want to hire and promote women,True
42,Managers want to hire and promote women,Managers want to hire and promote women,True
44,Managers want to hire and promote women,Not selected,False
46,Managers want to hire and promote women,Not selected,False
49,Managers want to hire and promote women,Not selected,False
50,Managers want to hire and promote women,Not selected,False
54,Managers want to hire and promote women,Not selected,False
58,Managers want to hire and promote women,Not selected,False
63,Managers want to hire and promote women,Managers want to hire and promote women,True
64,Managers want to hire and promote women,Not selected,False
65,Managers want to hire and promote women,Not selected,False
66,Managers want to hire and promote women,Not selected,False
70,Managers want to hire and promote women,Managers want to hire and promote women,True
72,Managers want to hire and promote women,Managers want to hire and promote women,True
76,Managers want to hire and promote women,Not selected,False
77,Managers want to hire and promote women,Not selected,False
78,Managers want to hire and promote women,Not selected,False
79,Managers want to hire and promote women,Not selected,False
80,Managers want to hire and promote women,Not selected,False
84,Managers want to hire and promote women,Managers want to hire and promote women,True
87,Managers want to hire and promote women,Managers want to hire and promote women,True
92,Managers want to hire and promote women,Not selected,False
93,Managers want to hire and promote women,Not selected,False
95,Managers want to hire and promote women,Not selected,False
96,Managers want to hire and promote women,Not selected,False
100,Managers want to hire and promote women,Managers want to hire and promote women,True
103,Managers want to hire and promote women,Not selected,False
105,Managers want to hire and promote women,Not selected,False
108,Managers want to hire and promote women,Managers want to hire and promote women,True
109,Managers want to hire and promote women,Not selected,False
111,Managers want to hire and promote women,Not selected,False
112,Managers want to hire and promote women,Not selected,False
113,Managers want to hire and promote women,Not selected,False
114,Managers want to hire and promote women,Managers want to hire and promote women,True
116,Managers want to hire and promote women,Not selected,False
117,Managers want to hire and promote women,Not selected,False
119,Managers want to hire and promote women,Not selected,False
123,Managers want to hire and promote women,Not selected,False
126,Managers want to hire and promote women,Not selected,False
127,Managers want to hire and promote women,Not selected,False
129,Managers want to hire and promote women,Not selected,False
130,Managers want to hire and promote women,Not selected,False
132,Managers want to hire and promote women,Not selected,False
135,Managers want to hire and promote women,Managers want to hire and promote women,True
138,Managers want to hire and promote women,Not selected,False
140,Managers want to hire and promote women,Not selected,False
142,Managers want to hire and promote women,Managers want to hire and promote women,True
143,Managers want to hire and promote women,Not selected,False
145,Managers want to hire and promote women,Not selected,False
148,Managers want to hire and promote women,Not selected,False
149,Managers want to hire and promote women,Managers want to hire and promote women,True
150,Managers want to hire and promote women,Not selected,False
151,Managers want to hire and promote women,Not selected,False
152,Managers want to hire and promote women,Not selected,False
153,Managers want to hire and promote women,Not selected,False
154,Managers want to hire and promote women,Not selected,False
155,Managers want to hire and promote women,Managers want to hire and promote women,True
157,Managers want to hire and promote women,Not selected,False
158,Managers want to hire and promote women,Not selected,False
159,Managers want to hire and promote women,Not selected,False
160,Managers want to hire and promote women,Not selected,False
161,Managers want to hire and promote women,Not selected,False
163,Managers want to hire and promote women,Not selected,False
164,Managers want to hire and promote women,Not selected,False
166,Managers want to hire and promote women,Not selected,False
168,Managers want to hire and promote women,Not selected,False
171,Managers want to hire and promote women,Not selected,False
174,Managers want to hire and promote women,Not selected,False
176,Managers want to hire and promote women,Not selected,False
177,Managers want to hire and promote women,Not selected,False
178,Managers want to hire and promote women,Not selected,False
179,Managers want to hire and promote women,Not selected,False
180,Managers want to hire and promote women,Managers want to hire and promote women,True
181,Managers want to hire and promote women,Managers want to hire and promote women,True
182,Managers want to hire and promote women,Not selected,False
183,Managers want to hire and promote women,Not selected,False
184,Managers want to hire and promote women,Managers want to hire and promote women,True
186,Managers want to hire and promote women,Managers want to hire and promote women,True
187,Managers want to hire and promote women,Not selected,False
192,Managers want to hire and promote women,Not selected,False
193,Managers want to hire and promote women,Not selected,False
197,Managers want to hire and promote women,Managers want to hire and promote women,True
198,Managers want to hire and promote women,Not selected,False
200,Managers want to hire and promote women,Not selected,False
203,Managers want to hire and promote women,Not selected,False
204,Managers want to hire and promote women,Not selected,False
206,Managers want to hire and promote women,Managers want to hire and promote women,True
207,Managers want to hire and promote women,Not selected,False
208,Managers want to hire and promote women,Not selected,False
212,Managers want to hire and promote women,Not selected,False
213,Managers want to hire and promote women,Not selected,False
214,Managers want to hire and promote women,Not selected,False
217,Managers want to hire and promote women,Not selected,False
219,Managers want to hire and promote women,Not selected,False
220,Managers want to hire and promote women,Not selected,False
221,Managers want to hire and promote women,Not selected,False
222,Managers want to hire and promote women,Managers want to hire and promote women,True
225,Managers want to hire and promote women,Not selected,False
226,Managers want to hire and promote women,Not selected,False
227,Managers want to hire and promote women,Not selected,False
228,Managers want to hire and promote women,Managers want to hire and promote women,True
229,Managers want to hire and promote women,Not selected,False
231,Managers want to hire and promote women,Not selected,False
233,Managers want to hire and promote women,Managers want to hire and promote women,True
234,Managers want to hire and promote women,Not selected,False
236,Managers want to hire and promote women,Not selected,False
237,Managers want to hire and promote women,Not selected,False
238,Managers want to hire and promote women,Not selected,False
240,Managers want to hire and promote women,Not selected,False
241,Managers want to hire and promote women,Not selected,False
243,Managers want to hire and promote women,Managers want to hire and promote women,True
244,Managers want to hire and promote women,Not selected,False
247,Managers want to hire and promote women,Not selected,False
251,Managers want to hire and promote women,Not selected,False
252,Managers want to hire and promote women,Not selected,False
253,Managers want to hire and promote women,Not selected,False
254,Managers want to hire and promote women,Not selected,False
257,Managers want to hire and promote women,Not selected,False
258,Managers want to hire and promote women,Not selected,False
261,Managers want to hire and promote women,Not selected,False
263,Managers want to hire and promote women,Managers want to hire and promote women,True
264,Managers want to hire and promote women,Not selected,False
265,Managers want to hire and promote women,Managers want to hire and promote women,True
266,Managers want to hire and promote women,Managers want to hire and promote women,True
268,Managers want to hire and promote women,Managers want to hire and promote women,True
271,Managers want to hire and promote women,Managers want to hire and promote women,True
272,Managers want to hire and promote women,Managers want to hire and promote women,True
273,Managers want to hire and promote women,Not selected,False
274,Managers want to hire and promote women,Not selected,False
276,Managers want to hire and promote women,Managers want to hire and promote women,True
279,Managers want to hire and promote women,Not selected,False
280,Managers want to hire and promote women,Not selected,False
282,Managers want to hire and promote women,Not selected,False
283,Managers want to hire and promote women,Managers want to hire and promote women,True
284,Managers want to hire and promote women,Not selected,False
287,Managers want to hire and promote women,Not selected,False
288,Managers want to hire and promote women,Not selected,False
289,Managers want to hire and promote women,Not selected,False
291,Managers want to hire and promote women,Not selected,False
292,Managers want to hire and promote women,Not selected,False
293,Managers want to hire and promote women,Managers want to hire and promote women,True
294,Managers want to hire and promote women,Managers want to hire and promote women,True
295,Managers want to hire and promote women,Not selected,False
298,Managers want to hire and promote women,Managers want to hire and promote women,True
301,Managers want to hire and promote women,Not selected,False
302,Managers want to hire and promote women,Not selected,False
305,Managers want to hire and promote women,Not selected,False
306,Managers want to hire and promote women,Not selected,False
307,Managers want to hire and promote women,Managers want to hire and promote women,True
308,Managers want to hire and promote women,Not selected,False
311,Managers want to hire and promote women,Not selected,False
316,Managers want to hire and promote women,Not selected,False
319,Managers want to hire and promote women,Managers want to hire and promote women,True
320,Managers want to hire and promote women,Not selected,False
323,Managers want to hire and promote women,Managers want to hire and promote women,True
324,Managers want to hire and promote women,Not selected,False
325,Managers want to hire and promote women,Not selected,False
331,Managers want to hire and promote women,Not selected,False
336,Managers want to hire and promote women,Not selected,False
338,Managers want to hire and promote women,Not selected,False
340,Managers want to hire and promote women,Not selected,False
342,Managers want to hire and promote women,Not selected,False
345,Managers want to hire and promote women,Managers want to hire and promote women,True
346,Managers want to hire and promote women,Managers want to hire and promote women,True
348,Managers want to hire and promote women,Not selected,False
349,Managers want to hire and promote women,Managers want to hire and promote women,True
352,Managers want to hire and promote women,Not selected,False
356,Managers want to hire and promote women,Not selected,False
357,Managers want to hire and promote women,Not selected,False
358,Managers want to hire and promote women,Not selected,False
361,Managers want to hire and promote women,Managers want to hire and promote women,True
362,Managers want to hire and promote women,Not selected,False
363,Managers want to hire and promote women,Not selected,False
364,Managers want to hire and promote women,Not selected,False
366,Managers want to hire and promote women,Not selected,False
367,Managers want to hire and promote women,Not selected,False
368,Managers want to hire and promote women,Not selected,False
370,Managers want to hire and promote women,Not selected,False
372,Managers want to hire and promote women,Not selected,False
376,Managers want to hire and promote women,Not selected,False
377,Managers want to hire and promote women,Not selected,False
380,Managers want to hire and promote women,Not selected,False
385,Managers want to hire and promote women,Managers want to hire and promote women,True
388,Managers want to hire and promote women,Managers want to hire and promote women,True
389,Managers want to hire and promote women,Not selected,False
390,Managers want to hire and promote women,Not selected,False
391,Managers want to hire and promote women,Not selected,False
393,Managers want to hire and promote women,Not selected,False
394,Managers want to hire and promote women,Not selected,False
395,Managers want to hire and promote women,Managers want to hire and promote women,True
399,Managers want to hire and promote women,Managers want to hire and promote women,True
401,Managers want to hire and promote women,Not selected,False
404,Managers want to hire and promote women,Not selected,False
405,Managers want to hire and promote women,Managers want to hire and promote women,True
406,Managers want to hire and promote women,Not selected,False
408,Managers want to hire and promote women,Not selected,False
413,Managers want to hire and promote women,Managers want to hire and promote women,True
414,Managers want to hire and promote women,Not selected,False
415,Managers want to hire and promote women,Not selected,False
421,Managers want to hire and promote women,Not selected,False
422,Managers want to hire and promote women,Managers want to hire and promote women,True
425,Managers want to hire and promote women,Managers want to hire and promote women,True
429,Managers want to hire and promote women,Managers want to hire and promote women,True
431,Managers want to hire and promote women,Not selected,False
432,Managers want to hire and promote women,Not selected,False
436,Managers want to hire and promote women,Not selected,False
440,Managers want to hire and promote women,Not selected,False
441,Managers want to hire and promote women,Not selected,False
444,Managers want to hire and promote women,Not selected,False
445,Managers want to hire and promote women,Not selected,False
447,Managers want to hire and promote women,Not selected,False
448,Managers want to hire and promote women,Managers want to hire and promote women,True
449,Managers want to hire and promote women,Not selected,False
451,Managers want to hire and promote women,Not selected,False
452,Managers want to hire and promote women,Not selected,False
453,Managers want to hire and promote women,Not selected,False
459,Managers want to hire and promote women,Not selected,False
461,Managers want to hire and promote women,Not selected,False
462,Managers want to hire and promote women,Not selected,False
464,Managers want to hire and promote women,Managers want to hire and promote women,True
465,Managers want to hire and promote women,Not selected,False
466,Managers want to hire and promote women,Not selected,False
470,Managers want to hire and promote women,Not selected,False
472,Managers want to hire and promote women,Not selected,False
473,Managers want to hire and promote women,Not selected,False
475,Managers want to hire and promote women,Not selected,False
479,Managers want to hire and promote women,Not selected,False
480,Managers want to hire and promote women,Not selected,False
481,Managers want to hire and promote women,Not selected,False
482,Managers want to hire and promote women,Not selected,False
486,Managers want to hire and promote women,Not selected,False
488,Managers want to hire and promote women,Not selected,False
489,Managers want to hire and promote women,Not selected,False
493,Managers want to hire and promote women,Managers want to hire and promote women,True
494,Managers want to hire and promote women,Not selected,False
497,Managers want to hire and promote women,Not selected,False
499,Managers want to hire and promote women,Not selected,False
500,Managers want to hire and promote women,Not selected,False
501,Managers want to hire and promote women,Not selected,False
502,Managers want to hire and promote women,Not selected,False
505,Managers want to hire and promote women,Not selected,False
511,Managers want to hire and promote women,Not selected,False
515,Managers want to hire and promote women,Managers want to hire and promote women,True
516,Managers want to hire and promote women,Managers want to hire and promote women,True
517,Managers want to hire and promote women,Not selected,False
519,Managers want to hire and promote women,Not selected,False
521,Managers want to hire and promote women,Not selected,False
524,Managers want to hire and promote women,Not selected,False
526,Managers want to hire and promote women,Not selected,False
530,Managers want to hire and promote women,Managers want to hire and promote women,True
531,Managers want to hire and promote women,Not selected,False
532,Managers want to hire and promote women,Not selected,False
533,Managers want to hire and promote women,Not selected,False
534,Managers want to hire and promote women,Not selected,False
537,Managers want to hire and promote women,Not selected,False
538,Managers want to hire and promote women,Not selected,False
542,Managers want to hire and promote women,Not selected,False
545,Managers want to hire and promote women,Not selected,False
548,Managers want to hire and promote women,Not selected,False
550,Managers want to hire and promote women,Not selected,False
551,Managers want to hire and promote women,Not selected,False
555,Managers want to hire and promote women,Not selected,False
557,Managers want to hire and promote women,Not selected,False
562,Managers want to hire and promote women,Managers want to hire and promote women,True
563,Managers want to hire and promote women,Not selected,False
564,Managers want to hire and promote women,Not selected,False
565,Managers want to hire and promote women,Not selected,False
566,Managers want to hire and promote women,Not selected,False
568,Managers want to hire and promote women,Not selected,False
